tanggal,beras kualitas super I,daging ayam,telur ayam,bawang merah,bawang putih,cabai merah besar,cabai merah keriting,cabai rawit merah,cabai rawit hijau,minyak goreng merk 1
01/08/2017,11600,26450,19600,25900,25800,20650,20050,35500,20850,12850
02/08/2017,11450,25500,19850,24950,24950,19600,20050,33200,22600,13700
03/08/2017,11500,26650,21100,25150,25250,23300,22900,38850,26950,13750
04/08/2017,11500,26650,21100,25150,25250,23300,22900,38850,26950,13750
07/08/2017,11500,26700,21050,25150,25250,23300,22900,38850,26950,13750
08/08/2017,11500,26650,21050,25050,25100,22950,23050,38400,26450,13750
09/08/2017,11500,26650,21000,25000,25100,23250,23300,38300,26350,13750
10/08/2017,11550,26900,20700,24100,24400,23600,23450,33950,24800,13700
11/08/2017,11550,26900,20700,24100,24400,23600,23450,33950,24800,13700
14/08/2017,11550,26900,20700,23800,24100,23550,23350,33950,24800,13700
15/08/2017,11550,27050,20600,23650,24000,23650,23550,33300,24550,13700
16/08/2017,11550,26650,20350,23200,23400,23150,23550,31100,24050,13700
18/08/2017,11500,26650,20250,22950,23000,22350,23100,31000,24300,13650
21/08/2017,11500,26650,20250,22950,23000,22350,23100,31000,24300,13650
22/08/2017,11500,26400,20150,22700,22850,22200,23000,30100,24300,13650
23/08/2017,11500,26200,20100,22550,22750,22400,22600,29550,24100,13700
24/08/2017,11550,25250,20000,21600,22000,22350,22250,27650,23550,13750
25/08/2017,11450,25200,20050,21750,22200,22100,22000,27550,23500,13750
28/08/2017,11450,25150,20050,21500,22150,22100,22100,27250,23350,13750
29/08/2017,11450,25250,20050,21550,22100,22050,22050,27200,23550,13750
30/08/2017,11450,25350,20050,21500,22150,22700,22550,27250,23550,13750
31/08/2017,11550,24950,20150,21450,21950,23700,23200,27750,23900,13750
04/09/2017,11550,24950,20150,21450,21950,23700,23200,27750,23900,13750
05/09/2017,11550,25250,20200,21350,22000,23750,23050,27750,23800,13750
06/09/2017,11550,25350,20150,20600,21300,23450,22950,27800,24750,13750
07/09/2017,11550,24850,20900,20000,20750,24350,23800,27250,24900,13800
08/09/2017,11550,25000,20900,20000,20750,24350,23800,27250,24900,13800
11/09/2017,11550,25000,20900,20050,21050,24350,23900,27250,25000,13800
12/09/2017,11600,24800,20900,20300,21400,25050,24300,27650,25900,13850
13/09/2017,11600,24650,20850,20100,21200,24850,24050,27350,25350,13800
14/09/2017,11600,24400,20400,19950,20700,23950,23150,26950,23850,13700
15/09/2017,11600,24400,20400,19950,20700,23950,23150,26950,23850,13700
18/09/2017,11600,24400,20400,19950,20650,23950,23150,26950,23850,13700
19/09/2017,11550,24300,20450,19600,20150,23250,22700,25950,23800,13650
20/09/2017,11600,24400,20400,19350,19850,23100,22950,24950,24450,13700
22/09/2017,11650,24400,20450,19250,19750,23400,23250,24600,24800,13750
25/09/2017,11650,24350,20450,19250,19700,23250,23400,24750,25000,13750
26/09/2017,11650,24350,20450,19250,19700,23350,23300,24650,25000,13700
27/09/2017,11600,24300,20400,19200,19700,23300,23050,24200,24500,13600
28/09/2017,11600,24050,20300,18500,19250,21500,22150,23400,24550,13600
29/09/2017,11600,24050,20300,18500,19250,21500,22150,23400,24550,13600
02/10/2017,11600,24100,20300,18500,19250,21500,22150,23350,24500,13600
03/10/2017,11550,24050,20300,18500,19250,21550,22250,23350,24500,13600
04/10/2017,11600,23900,20200,18200,19000,22250,22900,22750,24450,13650
05/10/2017,11600,23550,19950,17600,18400,22700,25250,24400,23650,13600
06/10/2017,11600,23550,19950,17600,18400,22700,25250,24400,23650,13600
09/10/2017,11650,23500,19900,17500,18350,22800,25600,24500,23700,13600
10/10/2017,11600,23600,19900,17500,18300,22900,25800,24750,23700,13600
11/10/2017,11600,23700,19950,17700,18650,23500,25950,25400,23450,13550
12/10/2017,11550,23250,19800,17450,18500,24150,27450,24300,22950,13550
13/10/2017,11550,23250,19800,17450,18500,24150,27450,24300,23050,13550
16/10/2017,11550,23250,19800,17300,18350,23900,27450,24200,23150,13550
17/10/2017,11550,23150,19800,17250,18250,23800,27250,24250,23150,13550
18/10/2017,11600,23100,19900,17300,18200,23500,26950,23900,23050,13550
19/10/2017,11600,23300,19850,17400,18100,22700,25400,24250,22800,13500
20/10/2017,11600,23300,19850,17400,18100,22700,25400,24250,22800,13500
23/10/2017,11600,23250,19850,17400,18100,22700,25400,24250,22800,13500
24/10/2017,11600,23300,19900,17300,18050,22550,25250,24200,22850,13500
25/10/2017,11600,23300,19900,17350,18000,23000,24900,24450,23300,13500
26/10/2017,11650,23300,19750,17500,17600,23250,24700,24250,23050,13550
27/10/2017,11650,23300,19750,17500,17600,23250,24700,24250,23050,13550
30/10/2017,11650,23300,19750,17450,17600,23200,24650,24300,23050,13550
31/10/2017,11650,23300,19700,17200,17100,22700,24450,23750,22600,13500
01/11/2017,11650,23250,19700,17250,16950,22500,24200,23850,22700,13500
02/11/2017,11650,23350,19700,17950,16900,22450,23200,23800,22400,13550
03/11/2017,11650,23350,19700,17950,16900,22450,23200,23800,22400,13550
06/11/2017,11650,23350,19700,17950,16850,22300,23200,24000,22450,13550
07/11/2017,11650,23300,19650,18050,16850,22400,23300,24100,22400,13550
08/11/2017,11700,23400,19650,18450,17350,22650,23950,24200,22300,13550
09/11/2017,11700,23400,19500,19000,17350,23850,24800,26200,22550,13450
10/11/2017,11700,23400,19500,19000,17350,23850,24800,26200,22550,13450
13/11/2017,11700,23400,19500,19000,17350,23850,24850,26200,22550,13450
14/11/2017,11700,23350,19550,19050,17450,24000,24900,26200,22500,13450
15/11/2017,11700,23350,19600,19250,17750,24450,25450,27000,22150,13500
16/11/2017,11750,23600,19850,19650,18450,25850,26850,27800,22750,13500
17/11/2017,11750,23600,19850,19650,18450,25850,26850,27800,22750,13500
20/11/2017,11750,23600,19850,19650,18450,25850,26850,27700,22750,13500
21/11/2017,11750,23500,19850,19700,18600,25850,26900,27500,22950,13500
22/11/2017,11750,23550,19950,19750,18700,25950,27350,27350,23200,13450
23/11/2017,11800,23600,20500,19900,18850,27450,28900,25850,22050,13500
24/11/2017,11800,23600,20500,19900,18850,27450,28900,25850,22050,13500
27/11/2017,11800,23600,20500,20050,18850,27450,29000,25850,22100,13500
28/11/2017,11800,23600,20500,19950,18700,27350,28850,25750,21950,13500
29/11/2017,11800,23650,20800,19900,18800,27650,28800,25650,22200,13500
30/11/2017,11800,23800,21400,19950,18750,27750,29400,26300,22550,13500
01/12/2017,11800,23800,21400,19950,18750,27750,29400,26300,22550,13500
04/12/2017,11800,23750,21400,20300,18750,27600,29650,26250,22700,13500
05/12/2017,11800,23800,21450,20200,18600,27650,29700,26350,22750,13500
06/12/2017,11800,23800,21500,20050,18300,28100,30200,26250,23500,13500
07/12/2017,11800,24100,21650,20200,17900,28300,30500,25450,23900,13500
08/12/2017,11800,24100,21650,20200,17900,28300,30500,25450,23900,13500
11/12/2017,11800,24200,21650,20100,17900,28500,30500,25250,23750,13500
12/12/2017,11800,24450,21750,20200,18050,28300,30250,25550,23800,13500
13/12/2017,11850,24850,22000,20150,17950,27850,29450,25250,24000,13500
14/12/2017,11900,25200,22750,19700,17800,27500,27200,25750,24900,13500
15/12/2017,11900,25200,22750,19700,17800,27500,27200,25750,24900,13500
18/12/2017,11900,25250,22800,19550,17750,27500,27000,25750,25100,13500
19/12/2017,11900,25200,22850,19550,17700,27650,27000,26450,25350,13500
20/12/2017,11900,25350,22900,19400,17200,28000,27150,27200,25400,13450
21/12/2017,11900,26150,23550,19650,17300,28750,28200,31850,27300,13450
22/12/2017,11900,26150,23550,19650,17300,28750,28200,31850,27300,13450
27/12/2017,11950,26500,23700,20100,17200,28350,28500,34350,27650,13450
28/12/2017,12000,27050,23800,20150,17400,29050,29900,39200,30200,13500
29/12/2017,12000,27050,23800,20150,17400,29050,29900,39200,30200,13500
02/01/2018,12000,27950,21450,21800,15950,20750,31400,29900,29500,13300
03/01/2018,12150,28050,22400,20700,18100,30600,33550,42450,34800,13450
04/01/2018,12050,27150,23400,19900,17800,29100,30400,42350,34050,13500
05/01/2018,12050,27150,23400,19900,17800,29100,30400,42350,34050,13500
08/01/2018,12050,27150,23350,20000,17850,29150,30550,42350,34250,13500
09/01/2018,12100,27200,23400,20000,17850,29050,29750,41600,33950,13500
10/01/2018,12100,27400,23450,20100,17950,29150,29900,41200,33850,13500
11/01/2018,12150,27900,23150,20100,18100,29900,31300,39700,32700,13500
12/01/2018,12150,27900,23150,20100,18100,29900,31300,39700,32700,13500
15/01/2018,12200,27900,23200,20100,18150,29900,31300,39700,32700,13500
16/01/2018,12200,27900,23100,19800,18050,29600,31200,39500,31900,13500
17/01/2018,12150,27950,23000,19700,18050,29800,31250,39650,32300,13550
18/01/2018,12200,27900,22600,19250,18050,31350,30800,38100,33750,13500
19/01/2018,12200,27900,22600,19250,18050,31350,30800,38100,33750,13500
22/01/2018,12200,27900,22600,19300,17900,31600,30950,38100,33750,13500
23/01/2018,12250,28000,22550,19300,17950,31450,30700,37950,33700,13500
24/01/2018,12250,27800,22450,19100,18000,31400,30750,37250,33800,13500
25/01/2018,12400,27150,22100,18650,17950,31950,31850,35200,33350,13450
26/01/2018,12400,27150,22100,18650,17950,31950,31850,35200,33350,13450
29/01/2018,12400,27100,22100,18500,17950,32000,31850,34900,33350,13450
30/01/2018,12400,26950,22100,18800,18000,32400,32350,34700,33600,13450
31/01/2018,12400,26950,21950,18700,17900,32000,32050,34050,33300,13450
01/02/2018,12400,26150,21700,18600,17950,31450,32450,34800,33050,13500
02/02/2018,12400,26150,21700,18600,17950,31450,32450,34800,33050,13500
05/02/2018,12400,26150,21700,18600,17950,31450,32450,34800,33050,13500
06/02/2018,12450,25950,21700,18650,18050,31400,32050,34850,32350,13500
07/02/2018,12400,26150,21600,18600,18250,31500,32150,35000,32500,13500
08/02/2018,12500,26150,21200,18800,19500,31650,31950,34600,30950,13550
09/02/2018,12500,26150,21200,18800,19500,31650,31950,34600,30950,13550
