tanggal,harga
01/08/2017,25900
02/08/2017,24950
03/08/2017,25150
04/08/2017,25150
07/08/2017,25150
08/08/2017,25050
09/08/2017,25000
10/08/2017,24100
11/08/2017,24100
14/08/2017,23800
15/08/2017,23650
16/08/2017,23200
18/08/2017,22950
21/08/2017,22950
22/08/2017,22700
23/08/2017,22550
24/08/2017,21600
25/08/2017,21750
28/08/2017,21500
29/08/2017,21550
30/08/2017,21500
31/08/2017,21450
04/09/2017,21450
05/09/2017,21350
06/09/2017,20600
07/09/2017,20000
08/09/2017,20000
11/09/2017,20050
12/09/2017,20300
13/09/2017,20100
14/09/2017,19950
15/09/2017,19950
18/09/2017,19950
19/09/2017,19600
20/09/2017,19350
22/09/2017,19250
25/09/2017,19250
26/09/2017,19250
27/09/2017,19200
28/09/2017,18500
29/09/2017,18500
02/10/2017,18500
03/10/2017,18500
04/10/2017,18200
05/10/2017,17600
06/10/2017,17600
09/10/2017,17500
10/10/2017,17500
11/10/2017,17700
12/10/2017,17450
13/10/2017,17450
16/10/2017,17300
17/10/2017,17250
18/10/2017,17300
19/10/2017,17400
20/10/2017,17400
23/10/2017,17400
24/10/2017,17300
25/10/2017,17350
26/10/2017,17500
27/10/2017,17500
30/10/2017,17450
31/10/2017,17200
01/11/2017,17250
02/11/2017,17950
03/11/2017,17950
06/11/2017,17950
07/11/2017,18050
08/11/2017,18450
09/11/2017,19000
10/11/2017,19000
13/11/2017,19000
14/11/2017,19050
15/11/2017,19250
16/11/2017,19650
17/11/2017,19650
20/11/2017,19650
21/11/2017,19700
22/11/2017,19750
23/11/2017,19900
24/11/2017,19900
27/11/2017,20050
28/11/2017,19950
29/11/2017,19900
30/11/2017,19950
01/12/2017,19950
04/12/2017,20300
05/12/2017,20200
06/12/2017,20050
07/12/2017,20200
08/12/2017,20200
11/12/2017,20100
12/12/2017,20200
13/12/2017,20150
14/12/2017,19700
15/12/2017,19700
18/12/2017,19550
19/12/2017,19550
20/12/2017,19400
21/12/2017,19650
22/12/2017,19650
27/12/2017,20100
28/12/2017,20150
29/12/2017,20150
02/01/2018,21800
03/01/2018,20700
04/01/2018,19900
05/01/2018,19900
08/01/2018,20000
09/01/2018,20000
10/01/2018,20100
11/01/2018,20100
12/01/2018,20100
15/01/2018,20100
16/01/2018,19800
17/01/2018,19700
18/01/2018,19250
19/01/2018,19250
22/01/2018,19300
23/01/2018,19300
24/01/2018,19100
25/01/2018,18650
26/01/2018,18650
29/01/2018,18500
30/01/2018,18800
31/01/2018,18700
01/02/2018,18600
02/02/2018,18600
05/02/2018,18600
06/02/2018,18650
07/02/2018,18600
08/02/2018,18800
09/02/2018,18800
12/02/2018,18750
13/02/2018,18700
14/02/2018,18800
15/02/2018,19350
19/02/2018,19250
20/02/2018,19300
21/02/2018,19300
22/02/2018,19350
23/02/2018,19350
26/02/2018,19350
27/02/2018,19250
28/02/2018,19300
01/03/2018,19500
02/03/2018,19500
05/03/2018,19450
06/03/2018,19850
07/03/2018,19950
08/03/2018,20600
09/03/2018,20600
12/03/2018,20900
13/03/2018,20950
14/03/2018,21000
15/03/2018,21050
16/03/2018,21050
19/03/2018,21050
20/03/2018,20950
21/03/2018,21000
22/03/2018,21850
23/03/2018,21850
26/03/2018,21900
27/03/2018,22200
28/03/2018,23050
29/03/2018,25100
02/04/2018,25150
03/04/2018,25300
04/04/2018,25850
05/04/2018,27700
06/04/2018,27700
09/04/2018,27850
10/04/2018,28050
11/04/2018,28150
12/04/2018,29600
13/04/2018,29600
16/04/2018,29650
17/04/2018,29900
18/04/2018,30150
19/04/2018,30600
20/04/2018,30600
23/04/2018,30700
24/04/2018,30700
25/04/2018,31000
26/04/2018,30600
27/04/2018,30600
30/04/2018,30500
02/05/2018,30150
