tanggal,harga
01/08/2017,25800
02/08/2017,24950
03/08/2017,25250
04/08/2017,25250
07/08/2017,25250
08/08/2017,25100
09/08/2017,25100
10/08/2017,24400
11/08/2017,24400
14/08/2017,24100
15/08/2017,24000
16/08/2017,23400
18/08/2017,23000
21/08/2017,23000
22/08/2017,22850
23/08/2017,22750
24/08/2017,22000
25/08/2017,22200
28/08/2017,22150
29/08/2017,22100
30/08/2017,22150
31/08/2017,21950
04/09/2017,21950
05/09/2017,22000
06/09/2017,21300
07/09/2017,20750
08/09/2017,20750
11/09/2017,21050
12/09/2017,21400
13/09/2017,21200
14/09/2017,20700
15/09/2017,20700
18/09/2017,20650
19/09/2017,20150
20/09/2017,19850
22/09/2017,19750
25/09/2017,19700
26/09/2017,19700
27/09/2017,19700
28/09/2017,19250
29/09/2017,19250
02/10/2017,19250
03/10/2017,19250
04/10/2017,19000
05/10/2017,18400
06/10/2017,18400
09/10/2017,18350
10/10/2017,18300
11/10/2017,18650
12/10/2017,18500
13/10/2017,18500
16/10/2017,18350
17/10/2017,18250
18/10/2017,18200
19/10/2017,18100
20/10/2017,18100
23/10/2017,18100
24/10/2017,18050
25/10/2017,18000
26/10/2017,17600
27/10/2017,17600
30/10/2017,17600
31/10/2017,17100
01/11/2017,16950
02/11/2017,16900
03/11/2017,16900
06/11/2017,16850
07/11/2017,16850
08/11/2017,17350
09/11/2017,17350
10/11/2017,17350
13/11/2017,17350
14/11/2017,17450
15/11/2017,17750
16/11/2017,18450
17/11/2017,18450
20/11/2017,18450
21/11/2017,18600
22/11/2017,18700
23/11/2017,18850
24/11/2017,18850
27/11/2017,18850
28/11/2017,18700
29/11/2017,18800
30/11/2017,18750
01/12/2017,18750
04/12/2017,18750
05/12/2017,18600
06/12/2017,18300
07/12/2017,17900
08/12/2017,17900
11/12/2017,17900
12/12/2017,18050
13/12/2017,17950
14/12/2017,17800
15/12/2017,17800
18/12/2017,17750
19/12/2017,17700
20/12/2017,17200
21/12/2017,17300
22/12/2017,17300
27/12/2017,17200
28/12/2017,17400
29/12/2017,17400
02/01/2018,15950
03/01/2018,18100
04/01/2018,17800
05/01/2018,17800
08/01/2018,17850
09/01/2018,17850
10/01/2018,17950
11/01/2018,18100
12/01/2018,18100
15/01/2018,18150
16/01/2018,18050
17/01/2018,18050
18/01/2018,18050
19/01/2018,18050
22/01/2018,17900
23/01/2018,17950
24/01/2018,18000
25/01/2018,17950
26/01/2018,17950
29/01/2018,17950
30/01/2018,18000
31/01/2018,17900
01/02/2018,17950
02/02/2018,17950
05/02/2018,17950
06/02/2018,18050
07/02/2018,18250
08/02/2018,19500
09/02/2018,19500
12/02/2018,19550
13/02/2018,20050
14/02/2018,20600
15/02/2018,23200
19/02/2018,23200
20/02/2018,23450
21/02/2018,23550
22/02/2018,24650
23/02/2018,24650
26/02/2018,24650
27/02/2018,24650
28/02/2018,24750
01/03/2018,24950
02/03/2018,24950
05/03/2018,24950
06/03/2018,25150
07/03/2018,25150
08/03/2018,24850
09/03/2018,24850
12/03/2018,24850
13/03/2018,25000
14/03/2018,24900
15/03/2018,25850
16/03/2018,25850
19/03/2018,25850
20/03/2018,25900
21/03/2018,26150
22/03/2018,27450
23/03/2018,27450
26/03/2018,27450
27/03/2018,27400
28/03/2018,27900
29/03/2018,28450
02/04/2018,28600
03/04/2018,28600
04/04/2018,28550
05/04/2018,28200
06/04/2018,28200
09/04/2018,28500
10/04/2018,28550
11/04/2018,28500
12/04/2018,28200
13/04/2018,28200
16/04/2018,27950
17/04/2018,28000
18/04/2018,28250
19/04/2018,28000
20/04/2018,28000
23/04/2018,28100
24/04/2018,28050
25/04/2018,27850
26/04/2018,26650
27/04/2018,26650
30/04/2018,26350
02/05/2018,25500
03/05/2018,23800
04/05/2018,23800
07/05/2018,23850
08/05/2018,23850
09/05/2018,23400
11/05/2018,22950
14/05/2018,23000
15/05/2018,22850
16/05/2018,22950
17/05/2018,22150
18/05/2018,22200
21/05/2018,22200
22/05/2018,21850
23/05/2018,21700
24/05/2018,21100
