Tanggal,Harga
01/08/2017,11600
02/08/2017,11450
03/08/2017,11500
04/08/2017,11500
07/08/2017,11500
08/08/2017,11500
09/08/2017,11500
10/08/2017,11550
11/08/2017,11550
14/08/2017,11550
15/08/2017,11550
16/08/2017,11550
18/08/2017,11500
21/08/2017,11500
22/08/2017,11500
23/08/2017,11500
24/08/2017,11550
25/08/2017,11450
28/08/2017,11450
29/08/2017,11450
30/08/2017,11450
31/08/2017,11550
04/09/2017,11550
05/09/2017,11550
06/09/2017,11550
07/09/2017,11550
08/09/2017,11550
11/09/2017,11550
12/09/2017,11600
13/09/2017,11600
14/09/2017,11600
15/09/2017,11600
18/09/2017,11600
19/09/2017,11550
20/09/2017,11600
22/09/2017,11650
25/09/2017,11650
26/09/2017,11650
27/09/2017,11600
28/09/2017,11600
29/09/2017,11600
02/10/2017,11600
03/10/2017,11550
04/10/2017,11600
05/10/2017,11600
06/10/2017,11600
09/10/2017,11650
10/10/2017,11600
11/10/2017,11600
12/10/2017,11550
13/10/2017,11550
16/10/2017,11550
17/10/2017,11550
18/10/2017,11600
19/10/2017,11600
20/10/2017,11600
23/10/2017,11600
24/10/2017,11600
25/10/2017,11600
26/10/2017,11650
27/10/2017,11650
30/10/2017,11650
31/10/2017,11650
01/11/2017,11650
02/11/2017,11650
03/11/2017,11650
06/11/2017,11650
07/11/2017,11650
08/11/2017,11700
09/11/2017,11700
10/11/2017,11700
13/11/2017,11700
14/11/2017,11700
15/11/2017,11700
16/11/2017,11750
17/11/2017,11750
20/11/2017,11750
21/11/2017,11750
22/11/2017,11750
23/11/2017,11800
24/11/2017,11800
27/11/2017,11800
28/11/2017,11800
29/11/2017,11800
30/11/2017,11800
01/12/2017,11800
04/12/2017,11800
05/12/2017,11800
06/12/2017,11800
07/12/2017,11800
08/12/2017,11800
11/12/2017,11800
12/12/2017,11800
13/12/2017,11850
14/12/2017,11900
15/12/2017,11900
18/12/2017,11900
19/12/2017,11900
20/12/2017,11900
21/12/2017,11900
22/12/2017,11900
27/12/2017,11950
28/12/2017,12000
29/12/2017,12000
02/01/2018,12000
03/01/2018,12150
04/01/2018,12050
05/01/2018,12050
08/01/2018,12050
09/01/2018,12100
10/01/2018,12100
11/01/2018,12150
12/01/2018,12150
15/01/2018,12200
16/01/2018,12200
17/01/2018,12150
18/01/2018,12200
19/01/2018,12200
22/01/2018,12200
23/01/2018,12250
24/01/2018,12250
25/01/2018,12400
26/01/2018,12400
29/01/2018,12400
30/01/2018,12400
31/01/2018,12400
01/02/2018,12400
02/02/2018,12400
05/02/2018,12400
06/02/2018,12450
07/02/2018,12400
08/02/2018,12500
09/02/2018,12500
12/02/2018,12500
13/02/2018,12450
14/02/2018,12450
15/02/2018,12400
19/02/2018,12400
20/02/2018,12400
21/02/2018,12400
22/02/2018,12450
23/02/2018,12450
26/02/2018,12450
27/02/2018,12450
28/02/2018,12450
01/03/2018,12400
02/03/2018,12400
05/03/2018,12350
06/03/2018,12350
07/03/2018,12350
08/03/2018,12350
09/03/2018,12350
12/03/2018,12350
13/03/2018,12350
14/03/2018,12350
15/03/2018,12350
16/03/2018,12350
19/03/2018,12350
20/03/2018,12350
21/03/2018,12300
22/03/2018,12300
23/03/2018,12300
26/03/2018,12300
27/03/2018,12250
28/03/2018,12250
29/03/2018,12250
02/04/2018,12250
03/04/2018,12250
04/04/2018,12250
05/04/2018,12250
06/04/2018,12250
09/04/2018,12250
10/04/2018,12200
11/04/2018,12200
12/04/2018,12200
13/04/2018,12200
16/04/2018,12200
17/04/2018,12200
18/04/2018,12200
19/04/2018,12200
20/04/2018,12200
23/04/2018,12200
24/04/2018,12200
25/04/2018,12200
26/04/2018,12150
27/04/2018,12150
30/04/2018,12150
02/05/2018,12150
03/05/2018,12200
04/05/2018,12200
07/05/2018,12200
08/05/2018,12200
09/05/2018,12150
11/05/2018,12150
14/05/2018,12150
15/05/2018,12150
16/05/2018,12150
17/05/2018,12150
18/05/2018,12150
21/05/2018,12150
22/05/2018,12150
23/05/2018,12150
24/05/2018,12100
25/05/2018,12100
28/05/2018,12100
30/05/2018,12100
31/05/2018,12100
01/06/2018,12100
04/06/2018,12100
05/06/2018,12100
06/06/2018,12100
07/06/2018,12100
08/06/2018,12100
11/06/2018,12100
12/06/2018,12100
13/06/2018,12100
14/06/2018,12100
18/06/2018,12100
19/06/2018,12100
20/06/2018,12100
21/06/2018,12100
22/06/2018,12100
25/06/2018,12100
26/06/2018,12100
27/06/2018,12100
28/06/2018,12100
29/06/2018,12100
02/07/2018,12100
03/07/2018,12100
04/07/2018,12100
05/07/2018,12100
06/07/2018,12100
09/07/2018,12100
10/07/2018,12100
11/07/2018,12100
12/07/2018,12100
13/07/2018,12100
16/07/2018,12100
17/07/2018,12100
18/07/2018,12100
19/07/2018,12100
20/07/2018,12100
23/07/2018,12100
24/07/2018,12100
25/07/2018,12100
26/07/2018,12050
27/07/2018,12050
30/07/2018,12050
31/07/2018,12050
01/08/2018,12050
02/08/2018,12050
03/08/2018,12050
06/08/2018,12050
07/08/2018,12050
08/08/2018,12050
09/08/2018,12050
10/08/2018,12050
13/08/2018,12050
14/08/2018,12050
15/08/2018,12050
16/08/2018,12050
20/08/2018,12050
21/08/2018,12050
23/08/2018,12050
24/08/2018,12050
27/08/2018,12050
28/08/2018,12050
29/08/2018,12050
30/08/2018,12050
31/08/2018,12050
03/09/2018,12050
04/09/2018,12050
05/09/2018,12050
06/09/2018,12050
07/09/2018,12050
10/09/2018,12050
12/09/2018,12050
13/09/2018,12000
14/09/2018,12000
17/09/2018,12000
18/09/2018,12000
