tanggal,harga
01/08/2017,20650
02/08/2017,19600
03/08/2017,23300
04/08/2017,23300
07/08/2017,23300
08/08/2017,22950
09/08/2017,23250
10/08/2017,23600
11/08/2017,23600
14/08/2017,23550
15/08/2017,23650
16/08/2017,23150
18/08/2017,22350
21/08/2017,22350
22/08/2017,22200
23/08/2017,22400
24/08/2017,22350
25/08/2017,22100
28/08/2017,22100
29/08/2017,22050
30/08/2017,22700
31/08/2017,23700
04/09/2017,23700
05/09/2017,23750
06/09/2017,23450
07/09/2017,24350
08/09/2017,24350
11/09/2017,24350
12/09/2017,25050
13/09/2017,24850
14/09/2017,23950
15/09/2017,23950
18/09/2017,23950
19/09/2017,23250
20/09/2017,23100
22/09/2017,23400
25/09/2017,23250
26/09/2017,23350
27/09/2017,23300
28/09/2017,21500
29/09/2017,21500
02/10/2017,21500
03/10/2017,21550
04/10/2017,22250
05/10/2017,22700
06/10/2017,22700
09/10/2017,22800
10/10/2017,22900
11/10/2017,23500
12/10/2017,24150
13/10/2017,24150
16/10/2017,23900
17/10/2017,23800
18/10/2017,23500
19/10/2017,22700
20/10/2017,22700
23/10/2017,22700
24/10/2017,22550
25/10/2017,23000
26/10/2017,23250
27/10/2017,23250
30/10/2017,23200
31/10/2017,22700
01/11/2017,22500
02/11/2017,22450
03/11/2017,22450
06/11/2017,22300
07/11/2017,22400
08/11/2017,22650
09/11/2017,23850
10/11/2017,23850
13/11/2017,23850
14/11/2017,24000
15/11/2017,24450
16/11/2017,25850
17/11/2017,25850
20/11/2017,25850
21/11/2017,25850
22/11/2017,25950
23/11/2017,27450
24/11/2017,27450
27/11/2017,27450
28/11/2017,27350
29/11/2017,27650
30/11/2017,27750
01/12/2017,27750
04/12/2017,27600
05/12/2017,27650
06/12/2017,28100
07/12/2017,28300
08/12/2017,28300
11/12/2017,28500
12/12/2017,28300
13/12/2017,27850
14/12/2017,27500
15/12/2017,27500
18/12/2017,27500
19/12/2017,27650
20/12/2017,28000
21/12/2017,28750
22/12/2017,28750
27/12/2017,28350
28/12/2017,29050
29/12/2017,29050
02/01/2018,20750
03/01/2018,30600
04/01/2018,29100
05/01/2018,29100
08/01/2018,29150
09/01/2018,29050
10/01/2018,29150
11/01/2018,29900
12/01/2018,29900
15/01/2018,29900
16/01/2018,29600
17/01/2018,29800
18/01/2018,31350
19/01/2018,31350
22/01/2018,31600
23/01/2018,31450
24/01/2018,31400
25/01/2018,31950
26/01/2018,31950
29/01/2018,32000
30/01/2018,32400
31/01/2018,32000
01/02/2018,31450
02/02/2018,31450
05/02/2018,31450
06/02/2018,31400
07/02/2018,31500
08/02/2018,31650
09/02/2018,31650
12/02/2018,31850
13/02/2018,31950
14/02/2018,31800
15/02/2018,33350
19/02/2018,33350
20/02/2018,33700
21/02/2018,33700
22/02/2018,33200
23/02/2018,33200
26/02/2018,33200
27/02/2018,33050
28/02/2018,32750
01/03/2018,32000
02/03/2018,32000
05/03/2018,32000
06/03/2018,32000
07/03/2018,32250
08/03/2018,32300
09/03/2018,32300
12/03/2018,32350
13/03/2018,33250
14/03/2018,34050
15/03/2018,36300
16/03/2018,36300
19/03/2018,36300
20/03/2018,36350
21/03/2018,36050
22/03/2018,35050
23/03/2018,35050
26/03/2018,35200
27/03/2018,34700
28/03/2018,35050
29/03/2018,35750
02/04/2018,35900
03/04/2018,35750
04/04/2018,35050
05/04/2018,35300
06/04/2018,35300
09/04/2018,35400
10/04/2018,35450
11/04/2018,35650
12/04/2018,36700
13/04/2018,36700
16/04/2018,36950
17/04/2018,36850
18/04/2018,36850
19/04/2018,36100
20/04/2018,36100
23/04/2018,35750
24/04/2018,35500
25/04/2018,34700
26/04/2018,31150
27/04/2018,31150
30/04/2018,31150
02/05/2018,31100
03/05/2018,30900
04/05/2018,30900
07/05/2018,31000
08/05/2018,31600
09/05/2018,31800
11/05/2018,31900
14/05/2018,32100
15/05/2018,32400
16/05/2018,32650
17/05/2018,32450
18/05/2018,32500
21/05/2018,32300
22/05/2018,32100
23/05/2018,31050
24/05/2018,30200
25/05/2018,30200
28/05/2018,29550
30/05/2018,28600
31/05/2018,27350
01/06/2018,27350
04/06/2018,27350
