tanggal,harga
01/08/2017,20050
02/08/2017,20050
03/08/2017,22900
04/08/2017,22900
07/08/2017,22900
08/08/2017,23050
09/08/2017,23300
10/08/2017,23450
11/08/2017,23450
14/08/2017,23350
15/08/2017,23550
16/08/2017,23550
18/08/2017,23100
21/08/2017,23100
22/08/2017,23000
23/08/2017,22600
24/08/2017,22250
25/08/2017,22000
28/08/2017,22100
29/08/2017,22050
30/08/2017,22550
31/08/2017,23200
04/09/2017,23200
05/09/2017,23050
06/09/2017,22950
07/09/2017,23800
08/09/2017,23800
11/09/2017,23900
12/09/2017,24300
13/09/2017,24050
14/09/2017,23150
15/09/2017,23150
18/09/2017,23150
19/09/2017,22700
20/09/2017,22950
22/09/2017,23250
25/09/2017,23400
26/09/2017,23300
27/09/2017,23050
28/09/2017,22150
29/09/2017,22150
02/10/2017,22150
03/10/2017,22250
04/10/2017,22900
05/10/2017,25250
06/10/2017,25250
09/10/2017,25600
10/10/2017,25800
11/10/2017,25950
12/10/2017,27450
13/10/2017,27450
16/10/2017,27450
17/10/2017,27250
18/10/2017,26950
19/10/2017,25400
20/10/2017,25400
23/10/2017,25400
24/10/2017,25250
25/10/2017,24900
26/10/2017,24700
27/10/2017,24700
30/10/2017,24650
31/10/2017,24450
01/11/2017,24200
02/11/2017,23200
03/11/2017,23200
06/11/2017,23200
07/11/2017,23300
08/11/2017,23950
09/11/2017,24800
10/11/2017,24800
13/11/2017,24850
14/11/2017,24900
15/11/2017,25450
16/11/2017,26850
17/11/2017,26850
20/11/2017,26850
21/11/2017,26900
22/11/2017,27350
23/11/2017,28900
24/11/2017,28900
27/11/2017,29000
28/11/2017,28850
29/11/2017,28800
30/11/2017,29400
01/12/2017,29400
04/12/2017,29650
05/12/2017,29700
06/12/2017,30200
07/12/2017,30500
08/12/2017,30500
11/12/2017,30500
12/12/2017,30250
13/12/2017,29450
14/12/2017,27200
15/12/2017,27200
18/12/2017,27000
19/12/2017,27000
20/12/2017,27150
21/12/2017,28200
