tanggal,harga
01/08/2017,20850
02/08/2017,22600
03/08/2017,26950
04/08/2017,26950
07/08/2017,26950
08/08/2017,26450
09/08/2017,26350
10/08/2017,24800
11/08/2017,24800
14/08/2017,24800
15/08/2017,24550
16/08/2017,24050
18/08/2017,24300
21/08/2017,24300
22/08/2017,24300
23/08/2017,24100
24/08/2017,23550
25/08/2017,23500
28/08/2017,23350
29/08/2017,23550
30/08/2017,23550
31/08/2017,23900
04/09/2017,23900
05/09/2017,23800
06/09/2017,24750
07/09/2017,24900
08/09/2017,24900
11/09/2017,25000
12/09/2017,25900
13/09/2017,25350
14/09/2017,23850
15/09/2017,23850
18/09/2017,23850
19/09/2017,23800
20/09/2017,24450
22/09/2017,24800
25/09/2017,25000
26/09/2017,25000
27/09/2017,24500
28/09/2017,24550
29/09/2017,24550
02/10/2017,24500
03/10/2017,24500
04/10/2017,24450
05/10/2017,23650
06/10/2017,23650
09/10/2017,23700
10/10/2017,23700
11/10/2017,23450
12/10/2017,22950
13/10/2017,23050
16/10/2017,23150
17/10/2017,23150
18/10/2017,23050
19/10/2017,22800
20/10/2017,22800
23/10/2017,22800
24/10/2017,22850
25/10/2017,23300
26/10/2017,23050
27/10/2017,23050
30/10/2017,23050
31/10/2017,22600
01/11/2017,22700
02/11/2017,22400
03/11/2017,22400
06/11/2017,22450
07/11/2017,22400
08/11/2017,22300
09/11/2017,22550
10/11/2017,22550
13/11/2017,22550
14/11/2017,22500
15/11/2017,22150
16/11/2017,22750
17/11/2017,22750
20/11/2017,22750
21/11/2017,22950
22/11/2017,23200
23/11/2017,22050
24/11/2017,22050
27/11/2017,22100
28/11/2017,21950
29/11/2017,22200
30/11/2017,22550
01/12/2017,22550
04/12/2017,22700
05/12/2017,22750
06/12/2017,23500
07/12/2017,23900
08/12/2017,23900
11/12/2017,23750
12/12/2017,23800
13/12/2017,24000
14/12/2017,24900
15/12/2017,24900
18/12/2017,25100
19/12/2017,25350
20/12/2017,25400
21/12/2017,27300
22/12/2017,27300
27/12/2017,27650
28/12/2017,30200
29/12/2017,30200
02/01/2018,29500
03/01/2018,34800
04/01/2018,34050
05/01/2018,34050
08/01/2018,34250
09/01/2018,33950
10/01/2018,33850
11/01/2018,32700
12/01/2018,32700
15/01/2018,32700
16/01/2018,31900
17/01/2018,32300
18/01/2018,33750
19/01/2018,33750
22/01/2018,33750
23/01/2018,33700
24/01/2018,33800
25/01/2018,33350
26/01/2018,33350
29/01/2018,33350
30/01/2018,33600
31/01/2018,33300
01/02/2018,33050
02/02/2018,33050
05/02/2018,33050
06/02/2018,32350
07/02/2018,32500
08/02/2018,30950
09/02/2018,30950
12/02/2018,31100
13/02/2018,30700
14/02/2018,30450
15/02/2018,32350
19/02/2018,32300
20/02/2018,32200
21/02/2018,31850
22/02/2018,31600
23/02/2018,31600
26/02/2018,31600
27/02/2018,31400
28/02/2018,31400
01/03/2018,31200
02/03/2018,31200
05/03/2018,31150
06/03/2018,31450
07/03/2018,31750
08/03/2018,31950
09/03/2018,31950
12/03/2018,32100
13/03/2018,32800
14/03/2018,32950
15/03/2018,32100
16/03/2018,32100
19/03/2018,32100
20/03/2018,32150
21/03/2018,32150
22/03/2018,31550
23/03/2018,31550
26/03/2018,31500
27/03/2018,31250
28/03/2018,31300
29/03/2018,31050
02/04/2018,31200
03/04/2018,31300
04/04/2018,31100
05/04/2018,30600
06/04/2018,30600
09/04/2018,30600
10/04/2018,30650
11/04/2018,30300
12/04/2018,29950
13/04/2018,29950
16/04/2018,30150
17/04/2018,29250
18/04/2018,29050
19/04/2018,27650
20/04/2018,27650
23/04/2018,27400
24/04/2018,27100
25/04/2018,26600
26/04/2018,25100
27/04/2018,25100
30/04/2018,24750
02/05/2018,24650
03/05/2018,24450
04/05/2018,24450
07/05/2018,24450
08/05/2018,25150
09/05/2018,25650
11/05/2018,25900
14/05/2018,25850
15/05/2018,26150
16/05/2018,26000
17/05/2018,25250
18/05/2018,25300
21/05/2018,25300
22/05/2018,25650
23/05/2018,25350
24/05/2018,25750
25/05/2018,25750
28/05/2018,25700
30/05/2018,25100
31/05/2018,24850
01/06/2018,24850
04/06/2018,24850
05/06/2018,24900
06/06/2018,24800
07/06/2018,25150
08/06/2018,25150
11/06/2018,25600
12/06/2018,26400
13/06/2018,31050
14/06/2018,31050
18/06/2018,32300
19/06/2018,32600
20/06/2018,32750
21/06/2018,32700
22/06/2018,32700
25/06/2018,32250
26/06/2018,31400
27/06/2018,31400
28/06/2018,28550
29/06/2018,28550
02/07/2018,28550
03/07/2018,28650
04/07/2018,28200
05/07/2018,30350
06/07/2018,30350
09/07/2018,30350
10/07/2018,31100
11/07/2018,31250
12/07/2018,32200
13/07/2018,32200
16/07/2018,32500
17/07/2018,32800
18/07/2018,32900
19/07/2018,33650
20/07/2018,33650
23/07/2018,33650
24/07/2018,33600
25/07/2018,33000
26/07/2018,32250
27/07/2018,32250
30/07/2018,32250
31/07/2018,31600
01/08/2018,31800
02/08/2018,31150
03/08/2018,31150
06/08/2018,31150
07/08/2018,30700
08/08/2018,30700
09/08/2018,29950
10/08/2018,29950
13/08/2018,29950
14/08/2018,29800
15/08/2018,30150
16/08/2018,29200
20/08/2018,28600
21/08/2018,29000
23/08/2018,29900
24/08/2018,29900
27/08/2018,29950
28/08/2018,30000
29/08/2018,29950
30/08/2018,28700
31/08/2018,28700
03/09/2018,28500
04/09/2018,28150
05/09/2018,27600
06/09/2018,24900
07/09/2018,24900
10/09/2018,24850
12/09/2018,24900
13/09/2018,25900
14/09/2018,25900
17/09/2018,25750
18/09/2018,25800
19/09/2018,26050
20/09/2018,25800
21/09/2018,25800
24/09/2018,25750
25/09/2018,26000
26/09/2018,26150
27/09/2018,26550
28/09/2018,26550
01/10/2018,26550
02/10/2018,26400
03/10/2018,26300
04/10/2018,27300
05/10/2018,27300
08/10/2018,27400
09/10/2018,26950
10/10/2018,27350
11/10/2018,28050
12/10/2018,28050
15/10/2018,28150
16/10/2018,29050
17/10/2018,28900
18/10/2018,28700
19/10/2018,28700
22/10/2018,28750
23/10/2018,28450
24/10/2018,28250
25/10/2018,27900
26/10/2018,27900
29/10/2018,27900
30/10/2018,28000
31/10/2018,27550
01/11/2018,27100
02/11/2018,27100
05/11/2018,27250
06/11/2018,27650
07/11/2018,27700
08/11/2018,27600
09/11/2018,27600
12/11/2018,27400
13/11/2018,27250
14/11/2018,27200
15/11/2018,27100
16/11/2018,27100
19/11/2018,27000
21/11/2018,27400
22/11/2018,27500
23/11/2018,27500
26/11/2018,27500
27/11/2018,27650
28/11/2018,28250
29/11/2018,28000
30/11/2018,28000
03/12/2018,28000
04/12/2018,28100
05/12/2018,28200
06/12/2018,27550
07/12/2018,27550
10/12/2018,27400
11/12/2018,27150
12/12/2018,26850
13/12/2018,26500
14/12/2018,26500
17/12/2018,26450
18/12/2018,26750
19/12/2018,26600
20/12/2018,26350
21/12/2018,26350
24/12/2018,26350
26/12/2018,26900
27/12/2018,28050
28/12/2018,28050
31/12/2018,27900
02/01/2019,28900
03/01/2019,26900
04/01/2019,26900
07/01/2019,26750
08/01/2019,26350
09/01/2019,26000
10/01/2019,25100
11/01/2019,25100
14/01/2019,25100
15/01/2019,25500
16/01/2019,25100
17/01/2019,24550
18/01/2019,24550
21/01/2019,24550
22/01/2019,24600
23/01/2019,24450
24/01/2019,23800
25/01/2019,23800
28/01/2019,23750
29/01/2019,23500
30/01/2019,23200
31/01/2019,23550
01/02/2019,23550
04/02/2019,23550
06/02/2019,23200
07/02/2019,22750
08/02/2019,22750
11/02/2019,22750
12/02/2019,22950
13/02/2019,22800
14/02/2019,23450
15/02/2019,23450
18/02/2019,23450
19/02/2019,23550
20/02/2019,23700
21/02/2019,23900
22/02/2019,23900
25/02/2019,23900
26/02/2019,23900
27/02/2019,24050
28/02/2019,23700
01/03/2019,23700
04/03/2019,23700
05/03/2019,23850
06/03/2019,24150
08/03/2019,23950
11/03/2019,23950
12/03/2019,23850
13/03/2019,24000
14/03/2019,24150
15/03/2019,24150
18/03/2019,24150
19/03/2019,24050
20/03/2019,23900
21/03/2019,24500
22/03/2019,24500
25/03/2019,24500
26/03/2019,24300
27/03/2019,24700
28/03/2019,24600
29/03/2019,24600
01/04/2019,24600
02/04/2019,24200
04/04/2019,24450
05/04/2019,24450
08/04/2019,24450
09/04/2019,24850
10/04/2019,24500
11/04/2019,25200
12/04/2019,25200
15/04/2019,25200
16/04/2019,25800
17/04/2019,25850
18/04/2019,28350
22/04/2019,28300
23/04/2019,28950
24/04/2019,29250
25/04/2019,28600
26/04/2019,28600
29/04/2019,28600
30/04/2019,28400
02/05/2019,29000
03/05/2019,29000
06/05/2019,29000
07/05/2019,29600
08/05/2019,30000
09/05/2019,31000
10/05/2019,31000
13/05/2019,31000
14/05/2019,30050
15/05/2019,29900
16/05/2019,27750
17/05/2019,27750
20/05/2019,27750
21/05/2019,28050
22/05/2019,28000
23/05/2019,28050
24/05/2019,28050
27/05/2019,28050
28/05/2019,27750
29/05/2019,27500
31/05/2019,28800
03/06/2019,28800
04/06/2019,29800
05/06/2019,30450
06/06/2019,30450
07/06/2019,29850
10/06/2019,29850
11/06/2019,30050
12/06/2019,30500
13/06/2019,30550
14/06/2019,30550
17/06/2019,30550
18/06/2019,30500
19/06/2019,30400
20/06/2019,29750
21/06/2019,29750
24/06/2019,29750
25/06/2019,29850
26/06/2019,30150
27/06/2019,32950
28/06/2019,32950
01/07/2019,32950
02/07/2019,33400
03/07/2019,34650
04/07/2019,40050
05/07/2019,40050
08/07/2019,40050
09/07/2019,40400
10/07/2019,41350
11/07/2019,44250
12/07/2019,44250
15/07/2019,44250
16/07/2019,44400
17/07/2019,46050
18/07/2019,50250
19/07/2019,50250
22/07/2019,50250
23/07/2019,50350
24/07/2019,49900
25/07/2019,50150
26/07/2019,50350
29/07/2019,50350
30/07/2019,49950
31/07/2019,49750
