Tanggal,Harga
01/08/2017,35500
02/08/2017,33200
03/08/2017,38850
04/08/2017,38850
07/08/2017,38850
08/08/2017,38400
09/08/2017,38300
10/08/2017,33950
11/08/2017,33950
14/08/2017,33950
15/08/2017,33300
16/08/2017,31100
18/08/2017,31000
21/08/2017,31000
22/08/2017,30100
23/08/2017,29550
24/08/2017,27650
25/08/2017,27550
28/08/2017,27250
29/08/2017,27200
30/08/2017,27250
31/08/2017,27750
04/09/2017,27750
05/09/2017,27750
06/09/2017,27800
07/09/2017,27250
08/09/2017,27250
11/09/2017,27250
12/09/2017,27650
13/09/2017,27350
14/09/2017,26950
15/09/2017,26950
18/09/2017,26950
19/09/2017,25950
20/09/2017,24950
22/09/2017,24600
25/09/2017,24750
26/09/2017,24650
27/09/2017,24200
28/09/2017,23400
29/09/2017,23400
02/10/2017,23350
03/10/2017,23350
04/10/2017,22750
05/10/2017,24400
06/10/2017,24400
09/10/2017,24500
10/10/2017,24750
11/10/2017,25400
12/10/2017,24300
13/10/2017,24300
16/10/2017,24200
17/10/2017,24250
18/10/2017,23900
19/10/2017,24250
20/10/2017,24250
23/10/2017,24250
24/10/2017,24200
25/10/2017,24450
26/10/2017,24250
27/10/2017,24250
30/10/2017,24300
31/10/2017,23750
01/11/2017,23850
02/11/2017,23800
03/11/2017,23800
06/11/2017,24000
07/11/2017,24100
08/11/2017,24200
09/11/2017,26200
10/11/2017,26200
13/11/2017,26200
14/11/2017,26200
15/11/2017,27000
16/11/2017,27800
17/11/2017,27800
20/11/2017,27700
21/11/2017,27500
22/11/2017,27350
23/11/2017,25850
24/11/2017,25850
27/11/2017,25850
28/11/2017,25750
29/11/2017,25650
30/11/2017,26300
01/12/2017,26300
04/12/2017,26250
05/12/2017,26350
06/12/2017,26250
07/12/2017,25450
08/12/2017,25450
11/12/2017,25250
12/12/2017,25550
13/12/2017,25250
14/12/2017,25750
15/12/2017,25750
18/12/2017,25750
19/12/2017,26450
20/12/2017,27200
21/12/2017,31850
22/12/2017,31850
27/12/2017,34350
28/12/2017,39200
29/12/2017,39200
02/01/2018,29900
03/01/2018,42450
04/01/2018,42350
05/01/2018,42350
08/01/2018,42350
09/01/2018,41600
10/01/2018,41200
11/01/2018,39700
12/01/2018,39700
15/01/2018,39700
16/01/2018,39500
17/01/2018,39650
18/01/2018,38100
19/01/2018,38100
22/01/2018,38100
23/01/2018,37950
24/01/2018,37250
25/01/2018,35200
26/01/2018,35200
29/01/2018,34900
30/01/2018,34700
31/01/2018,34050
01/02/2018,34800
02/02/2018,34800
05/02/2018,34800
06/02/2018,34850
07/02/2018,35000
08/02/2018,34600
09/02/2018,34600
12/02/2018,34750
13/02/2018,34950
14/02/2018,35250
15/02/2018,38150
19/02/2018,38150
20/02/2018,38650
21/02/2018,39100
22/02/2018,42250
23/02/2018,42250
26/02/2018,42250
27/02/2018,42100
28/02/2018,42600
01/03/2018,44800
02/03/2018,44800
05/03/2018,44650
06/03/2018,45700
07/03/2018,45900
08/03/2018,47950
09/03/2018,47950
12/03/2018,48150
13/03/2018,48050
14/03/2018,49450
15/03/2018,49200
16/03/2018,48900
19/03/2018,48900
20/03/2018,48050
21/03/2018,46850
22/03/2018,44150
23/03/2018,44150
26/03/2018,43900
27/03/2018,44450
28/03/2018,43650
29/03/2018,41000
02/04/2018,41100
03/04/2018,40650
04/04/2018,40550
05/04/2018,40400
06/04/2018,40400
09/04/2018,40400
10/04/2018,40050
11/04/2018,40200
12/04/2018,39050
13/04/2018,39050
16/04/2018,39250
17/04/2018,39150
18/04/2018,38850
19/04/2018,37200
20/04/2018,37200
23/04/2018,36900
24/04/2018,36400
25/04/2018,35400
26/04/2018,32350
27/04/2018,32350
30/04/2018,32000
02/05/2018,31400
03/05/2018,30050
04/05/2018,30050
07/05/2018,30100
08/05/2018,30100
09/05/2018,29300
11/05/2018,29600
14/05/2018,29550
15/05/2018,29800
16/05/2018,29800
17/05/2018,29350
