tanggal,harga
01/08/2017,26450
02/08/2017,25500
03/08/2017,26650
04/08/2017,26650
07/08/2017,26700
08/08/2017,26650
09/08/2017,26650
10/08/2017,26900
11/08/2017,26900
14/08/2017,26900
15/08/2017,27050
16/08/2017,26650
18/08/2017,26650
21/08/2017,26650
22/08/2017,26400
23/08/2017,26200
24/08/2017,25250
25/08/2017,25200
28/08/2017,25150
29/08/2017,25250
30/08/2017,25350
31/08/2017,24950
04/09/2017,24950
05/09/2017,25250
06/09/2017,25350
07/09/2017,24850
08/09/2017,25000
11/09/2017,25000
12/09/2017,24800
13/09/2017,24650
14/09/2017,24400
15/09/2017,24400
18/09/2017,24400
19/09/2017,24300
20/09/2017,24400
22/09/2017,24400
25/09/2017,24350
26/09/2017,24350
27/09/2017,24300
28/09/2017,24050
29/09/2017,24050
02/10/2017,24100
03/10/2017,24050
04/10/2017,23900
05/10/2017,23550
06/10/2017,23550
09/10/2017,23500
10/10/2017,23600
11/10/2017,23700
12/10/2017,23250
13/10/2017,23250
16/10/2017,23250
17/10/2017,23150
18/10/2017,23100
19/10/2017,23300
20/10/2017,23300
23/10/2017,23250
24/10/2017,23300
25/10/2017,23300
26/10/2017,23300
27/10/2017,23300
30/10/2017,23300
31/10/2017,23300
01/11/2017,23250
02/11/2017,23350
03/11/2017,23350
06/11/2017,23350
07/11/2017,23300
08/11/2017,23400
09/11/2017,23400
10/11/2017,23400
13/11/2017,23400
14/11/2017,23350
15/11/2017,23350
16/11/2017,23600
17/11/2017,23600
20/11/2017,23600
21/11/2017,23500
22/11/2017,23550
23/11/2017,23600
24/11/2017,23600
27/11/2017,23600
28/11/2017,23600
29/11/2017,23650
30/11/2017,23800
01/12/2017,23800
04/12/2017,23750
05/12/2017,23800
06/12/2017,23800
07/12/2017,24100
08/12/2017,24100
11/12/2017,24200
12/12/2017,24450
13/12/2017,24850
14/12/2017,25200
15/12/2017,25200
18/12/2017,25250
19/12/2017,25200
20/12/2017,25350
21/12/2017,26150
22/12/2017,26150
27/12/2017,26500
28/12/2017,27050
29/12/2017,27050
02/01/2018,27950
03/01/2018,28050
04/01/2018,27150
05/01/2018,27150
08/01/2018,27150
09/01/2018,27200
10/01/2018,27400
11/01/2018,27900
12/01/2018,27900
15/01/2018,27900
16/01/2018,27900
17/01/2018,27950
18/01/2018,27900
19/01/2018,27900
22/01/2018,27900
23/01/2018,28000
24/01/2018,27800
25/01/2018,27150
26/01/2018,27150
29/01/2018,27100
30/01/2018,26950
31/01/2018,26950
01/02/2018,26150
02/02/2018,26150
05/02/2018,26150
06/02/2018,25950
07/02/2018,26150
08/02/2018,26150
09/02/2018,26150
12/02/2018,26250
13/02/2018,26100
14/02/2018,26150
15/02/2018,26150
19/02/2018,26250
20/02/2018,26200
21/02/2018,26100
22/02/2018,25950
23/02/2018,25950
26/02/2018,25950
27/02/2018,25900
28/02/2018,25850
01/03/2018,25250
02/03/2018,25250
05/03/2018,25250
06/03/2018,25100
07/03/2018,25100
08/03/2018,24750
09/03/2018,24750
12/03/2018,24750
13/03/2018,24850
14/03/2018,25000
15/03/2018,25600
16/03/2018,25600
19/03/2018,25600
20/03/2018,25500
21/03/2018,25500
22/03/2018,25400
23/03/2018,25400
26/03/2018,25450
27/03/2018,25450
28/03/2018,25600
29/03/2018,25950
02/04/2018,25950
03/04/2018,25950
04/04/2018,26050
05/04/2018,26150
06/04/2018,26150
09/04/2018,26150
10/04/2018,26050
11/04/2018,26100
12/04/2018,26200
13/04/2018,26200
16/04/2018,26150
17/04/2018,26250
18/04/2018,26450
19/04/2018,26600
20/04/2018,26600
23/04/2018,26600
24/04/2018,26650
25/04/2018,26700
26/04/2018,27150
27/04/2018,27150
30/04/2018,27200
02/05/2018,27300
03/05/2018,27300
04/05/2018,27300
07/05/2018,27300
08/05/2018,27450
09/05/2018,27650
11/05/2018,27950
14/05/2018,28000
15/05/2018,28250
16/05/2018,28600
17/05/2018,29700
18/05/2018,29750
21/05/2018,29750
22/05/2018,29750
23/05/2018,29650
24/05/2018,29350
25/05/2018,29350
28/05/2018,29450
30/05/2018,29050
31/05/2018,28500
01/06/2018,28500
04/06/2018,28500
05/06/2018,28450
06/06/2018,28550
07/06/2018,28600
08/06/2018,28600
11/06/2018,28650
12/06/2018,28950
13/06/2018,30400
14/06/2018,30400
18/06/2018,30550
19/06/2018,30600
20/06/2018,30700
21/06/2018,31100
22/06/2018,31100
25/06/2018,31100
26/06/2018,31050
27/06/2018,31050
28/06/2018,29750
29/06/2018,29750
02/07/2018,29750
03/07/2018,29650
04/07/2018,30100
05/07/2018,29850
06/07/2018,29850
09/07/2018,29850
10/07/2018,29600
11/07/2018,29650
12/07/2018,30200
13/07/2018,30200
16/07/2018,30300
17/07/2018,30300
18/07/2018,30550
19/07/2018,31550
20/07/2018,31550
23/07/2018,31500
24/07/2018,31750
25/07/2018,31850
26/07/2018,32650
27/07/2018,32650
30/07/2018,32650
31/07/2018,32550
01/08/2018,32250
02/08/2018,31250
03/08/2018,31250
06/08/2018,31250
07/08/2018,31100
08/08/2018,30800
09/08/2018,29950
10/08/2018,29950
13/08/2018,29950
14/08/2018,29650
15/08/2018,29600
16/08/2018,29100
20/08/2018,29100
21/08/2018,29300
23/08/2018,30000
24/08/2018,30000
27/08/2018,30000
28/08/2018,29800
29/08/2018,29750
30/08/2018,28850
31/08/2018,28850
03/09/2018,28800
04/09/2018,28650
05/09/2018,28400
06/09/2018,27750
07/09/2018,27750
10/09/2018,27700
12/09/2018,27600
13/09/2018,26800
14/09/2018,26800
17/09/2018,26800
18/09/2018,26700
19/09/2018,26750
20/09/2018,26350
21/09/2018,26350
24/09/2018,26350
25/09/2018,26100
26/09/2018,26050
27/09/2018,25750
28/09/2018,25750
01/10/2018,25750
02/10/2018,25750
03/10/2018,25800
04/10/2018,26300
05/10/2018,26300
08/10/2018,26300
09/10/2018,26450
10/10/2018,26550
11/10/2018,26700
12/10/2018,26700
15/10/2018,26700
16/10/2018,26650
17/10/2018,26650
18/10/2018,26650
19/10/2018,26650
22/10/2018,26650
23/10/2018,26650
24/10/2018,26500
25/10/2018,26250
26/10/2018,26250
29/10/2018,26250
30/10/2018,26400
31/10/2018,26400
01/11/2018,26500
02/11/2018,26500
05/11/2018,26550
06/11/2018,26550
07/11/2018,26450
08/11/2018,26400
09/11/2018,26400
12/11/2018,26400
13/11/2018,26400
14/11/2018,26500
