tanggal,harga
01/08/2017,15250
02/08/2017,14950
03/08/2017,14600
04/08/2017,14600
07/08/2017,14600
08/08/2017,14600
09/08/2017,14600
10/08/2017,14550
11/08/2017,14550
14/08/2017,14500
15/08/2017,14550
16/08/2017,14450
18/08/2017,14500
21/08/2017,14500
22/08/2017,14500
23/08/2017,14500
24/08/2017,14550
25/08/2017,14550
28/08/2017,14500
29/08/2017,14500
30/08/2017,14500
31/08/2017,14350
04/09/2017,14350
05/09/2017,14350
06/09/2017,14300
07/09/2017,14250
08/09/2017,14250
11/09/2017,14250
12/09/2017,14400
13/09/2017,14400
14/09/2017,14300
15/09/2017,14300
18/09/2017,14300
19/09/2017,14200
20/09/2017,14150
22/09/2017,14300
25/09/2017,14300
26/09/2017,14300
27/09/2017,14150
28/09/2017,14150
29/09/2017,14150
02/10/2017,14150
03/10/2017,14150
04/10/2017,14150
05/10/2017,14150
06/10/2017,14000
09/10/2017,14000
10/10/2017,14000
11/10/2017,14000
12/10/2017,14100
13/10/2017,14100
16/10/2017,14150
17/10/2017,14150
18/10/2017,14150
19/10/2017,14100
20/10/2017,14100
23/10/2017,14100
24/10/2017,14100
25/10/2017,14100
26/10/2017,14100
27/10/2017,14100
30/10/2017,14100
31/10/2017,14100
01/11/2017,14100
02/11/2017,13950
03/11/2017,13950
06/11/2017,13950
07/11/2017,13900
08/11/2017,13950
09/11/2017,14100
10/11/2017,14100
13/11/2017,14100
14/11/2017,14100
15/11/2017,14100
16/11/2017,14100
17/11/2017,14100
20/11/2017,14100
21/11/2017,14100
22/11/2017,14100
23/11/2017,14100
24/11/2017,14100
27/11/2017,14100
28/11/2017,14050
29/11/2017,14050
30/11/2017,14050
01/12/2017,14050
04/12/2017,14050
05/12/2017,14050
06/12/2017,14000
07/12/2017,14000
08/12/2017,14000
11/12/2017,14000
12/12/2017,14000
13/12/2017,14000
14/12/2017,14000
15/12/2017,14000
18/12/2017,14000
19/12/2017,14000
20/12/2017,14000
21/12/2017,13950
22/12/2017,13950
27/12/2017,13950
28/12/2017,13950
29/12/2017,13950
02/01/2018,14950
03/01/2018,14150
04/01/2018,13900
05/01/2018,13900
08/01/2018,13900
09/01/2018,13900
10/01/2018,13900
11/01/2018,13850
12/01/2018,13850
15/01/2018,13850
16/01/2018,13850
17/01/2018,13850
18/01/2018,13800
19/01/2018,13800
22/01/2018,13800
23/01/2018,13800
24/01/2018,13800
25/01/2018,13800
26/01/2018,13800
29/01/2018,13800
30/01/2018,13850
31/01/2018,13800
01/02/2018,13750
02/02/2018,13750
05/02/2018,13750
06/02/2018,13800
07/02/2018,13800
08/02/2018,13750
09/02/2018,13750
12/02/2018,13700
13/02/2018,13700
14/02/2018,13700
15/02/2018,13700
19/02/2018,13700
20/02/2018,13700
21/02/2018,13700
22/02/2018,13700
23/02/2018,13700
26/02/2018,13700
27/02/2018,13700
28/02/2018,13700
01/03/2018,13650
02/03/2018,13700
05/03/2018,13700
06/03/2018,13700
07/03/2018,13700
08/03/2018,13700
09/03/2018,13700
12/03/2018,13700
13/03/2018,13700
14/03/2018,13650
15/03/2018,13650
16/03/2018,13650
19/03/2018,13650
20/03/2018,13650
21/03/2018,13650
22/03/2018,13600
23/03/2018,13600
26/03/2018,13600
27/03/2018,13600
28/03/2018,13600
29/03/2018,13600
02/04/2018,13600
03/04/2018,13600
04/04/2018,13600
05/04/2018,13600
06/04/2018,13600
09/04/2018,13600
10/04/2018,13600
11/04/2018,13600
12/04/2018,13600
13/04/2018,13600
16/04/2018,13600
17/04/2018,13600
18/04/2018,13550
19/04/2018,13600
20/04/2018,13600
23/04/2018,13600
24/04/2018,13600
25/04/2018,13600
26/04/2018,13600
27/04/2018,13600
30/04/2018,13600
02/05/2018,13550
03/05/2018,13550
04/05/2018,13550
07/05/2018,13550
08/05/2018,13550
09/05/2018,13550
11/05/2018,13550
14/05/2018,13550
15/05/2018,13500
16/05/2018,13500
17/05/2018,13600
18/05/2018,13600
21/05/2018,13600
22/05/2018,13600
23/05/2018,13600
24/05/2018,13600
25/05/2018,13600
28/05/2018,13600
30/05/2018,13650
31/05/2018,13600
01/06/2018,13600
04/06/2018,13600
05/06/2018,13600
06/06/2018,13650
07/06/2018,13600
08/06/2018,13600
11/06/2018,13600
12/06/2018,13600
13/06/2018,13550
14/06/2018,13550
18/06/2018,13550
19/06/2018,13550
20/06/2018,13550
21/06/2018,13600
22/06/2018,13600
25/06/2018,13600
26/06/2018,13550
27/06/2018,13550
28/06/2018,13550
29/06/2018,13550
02/07/2018,13550
03/07/2018,13550
04/07/2018,13500
05/07/2018,13500
06/07/2018,13500
09/07/2018,13500
10/07/2018,13500
11/07/2018,13500
12/07/2018,13500
13/07/2018,13500
16/07/2018,13500
17/07/2018,13500
18/07/2018,13500
19/07/2018,13500
20/07/2018,13500
23/07/2018,13500
24/07/2018,13500
25/07/2018,13450
26/07/2018,13450
27/07/2018,13450
30/07/2018,13450
31/07/2018,13450
01/08/2018,13450
02/08/2018,13450
03/08/2018,13450
06/08/2018,13450
07/08/2018,13450
08/08/2018,13400
09/08/2018,13400
10/08/2018,13400
13/08/2018,13400
14/08/2018,13400
15/08/2018,13400
16/08/2018,13400
20/08/2018,13400
21/08/2018,13400
23/08/2018,13400
24/08/2018,13400
27/08/2018,13400
28/08/2018,13400
29/08/2018,13350
30/08/2018,13350
31/08/2018,13350
03/09/2018,13350
