tanggal,harga
01/08/2017,12850
02/08/2017,13700
03/08/2017,13750
04/08/2017,13750
07/08/2017,13750
08/08/2017,13750
09/08/2017,13750
10/08/2017,13700
11/08/2017,13700
14/08/2017,13700
15/08/2017,13700
16/08/2017,13700
18/08/2017,13650
21/08/2017,13650
22/08/2017,13650
23/08/2017,13700
24/08/2017,13750
25/08/2017,13750
28/08/2017,13750
29/08/2017,13750
30/08/2017,13750
31/08/2017,13750
04/09/2017,13750
05/09/2017,13750
06/09/2017,13750
07/09/2017,13800
08/09/2017,13800
11/09/2017,13800
12/09/2017,13850
13/09/2017,13800
14/09/2017,13700
15/09/2017,13700
18/09/2017,13700
19/09/2017,13650
20/09/2017,13700
22/09/2017,13750
25/09/2017,13750
26/09/2017,13700
27/09/2017,13600
28/09/2017,13600
29/09/2017,13600
02/10/2017,13600
03/10/2017,13600
04/10/2017,13650
05/10/2017,13600
06/10/2017,13600
09/10/2017,13600
10/10/2017,13600
11/10/2017,13550
12/10/2017,13550
13/10/2017,13550
16/10/2017,13550
17/10/2017,13550
18/10/2017,13550
19/10/2017,13500
20/10/2017,13500
23/10/2017,13500
24/10/2017,13500
25/10/2017,13500
26/10/2017,13550
27/10/2017,13550
30/10/2017,13550
31/10/2017,13500
01/11/2017,13500
02/11/2017,13550
03/11/2017,13550
06/11/2017,13550
07/11/2017,13550
08/11/2017,13550
09/11/2017,13450
10/11/2017,13450
13/11/2017,13450
14/11/2017,13450
15/11/2017,13500
16/11/2017,13500
17/11/2017,13500
20/11/2017,13500
21/11/2017,13500
22/11/2017,13450
23/11/2017,13500
24/11/2017,13500
27/11/2017,13500
28/11/2017,13500
29/11/2017,13500
30/11/2017,13500
01/12/2017,13500
04/12/2017,13500
05/12/2017,13500
06/12/2017,13500
07/12/2017,13500
08/12/2017,13500
11/12/2017,13500
12/12/2017,13500
13/12/2017,13500
14/12/2017,13500
15/12/2017,13500
18/12/2017,13500
19/12/2017,13500
20/12/2017,13450
21/12/2017,13450
22/12/2017,13450
27/12/2017,13450
28/12/2017,13500
29/12/2017,13500
02/01/2018,13300
03/01/2018,13450
04/01/2018,13500
05/01/2018,13500
08/01/2018,13500
09/01/2018,13500
10/01/2018,13500
11/01/2018,13500
12/01/2018,13500
15/01/2018,13500
16/01/2018,13500
17/01/2018,13550
18/01/2018,13500
19/01/2018,13500
22/01/2018,13500
23/01/2018,13500
24/01/2018,13500
25/01/2018,13450
26/01/2018,13450
29/01/2018,13450
30/01/2018,13450
31/01/2018,13450
01/02/2018,13500
02/02/2018,13500
05/02/2018,13500
06/02/2018,13500
07/02/2018,13500
08/02/2018,13550
09/02/2018,13550
12/02/2018,13550
13/02/2018,13550
14/02/2018,13550
15/02/2018,13550
19/02/2018,13550
20/02/2018,13550
21/02/2018,13550
22/02/2018,13550
23/02/2018,13550
26/02/2018,13550
27/02/2018,13550
28/02/2018,13550
01/03/2018,13500
02/03/2018,13500
05/03/2018,13500
06/03/2018,13500
07/03/2018,13500
08/03/2018,13550
09/03/2018,13550
12/03/2018,13550
13/03/2018,13550
14/03/2018,13550
15/03/2018,13500
16/03/2018,13500
19/03/2018,13500
20/03/2018,13500
21/03/2018,13500
22/03/2018,13500
23/03/2018,13500
26/03/2018,13500
27/03/2018,13500
28/03/2018,13500
29/03/2018,13500
02/04/2018,13500
03/04/2018,13500
04/04/2018,13500
05/04/2018,13500
06/04/2018,13500
09/04/2018,13500
10/04/2018,13500
11/04/2018,13500
12/04/2018,13550
13/04/2018,13550
16/04/2018,13550
17/04/2018,13550
18/04/2018,13550
19/04/2018,13550
20/04/2018,13550
23/04/2018,13550
24/04/2018,13550
25/04/2018,13550
26/04/2018,13550
27/04/2018,13550
30/04/2018,13550
02/05/2018,13550
03/05/2018,13550
04/05/2018,13550
07/05/2018,13550
08/05/2018,13550
09/05/2018,13550
11/05/2018,13550
14/05/2018,13550
15/05/2018,13550
16/05/2018,13550
17/05/2018,13550
18/05/2018,13550
21/05/2018,13550
22/05/2018,13550
23/05/2018,13550
24/05/2018,13550
25/05/2018,13550
28/05/2018,13550
30/05/2018,13550
31/05/2018,13500
01/06/2018,13500
04/06/2018,13500
05/06/2018,13500
06/06/2018,13500
07/06/2018,13550
08/06/2018,13550
11/06/2018,13550
12/06/2018,13550
13/06/2018,13550
14/06/2018,13550
18/06/2018,13550
19/06/2018,13550
20/06/2018,13500
21/06/2018,13300
22/06/2018,13300
25/06/2018,13300
26/06/2018,13300
27/06/2018,13300
28/06/2018,13300
29/06/2018,13300
02/07/2018,13300
03/07/2018,13300
04/07/2018,13500
05/07/2018,13500
06/07/2018,13500
09/07/2018,13500
10/07/2018,13500
11/07/2018,13500
12/07/2018,13500
13/07/2018,13500
16/07/2018,13500
17/07/2018,13450
18/07/2018,13450
19/07/2018,13450
20/07/2018,13450
23/07/2018,13450
24/07/2018,13400
25/07/2018,13400
26/07/2018,13450
27/07/2018,13450
30/07/2018,13450
31/07/2018,13450
01/08/2018,13450
02/08/2018,13400
03/08/2018,13400
06/08/2018,13400
07/08/2018,13400
08/08/2018,13400
09/08/2018,13350
10/08/2018,13350
13/08/2018,13350
14/08/2018,13400
15/08/2018,13400
16/08/2018,13400
20/08/2018,13400
21/08/2018,13400
23/08/2018,13400
24/08/2018,13400
27/08/2018,13400
28/08/2018,13400
29/08/2018,13400
30/08/2018,13350
31/08/2018,13350
03/09/2018,13350
04/09/2018,13350
05/09/2018,13300
06/09/2018,13350
07/09/2018,13350
10/09/2018,13350
12/09/2018,13350
13/09/2018,13300
14/09/2018,13300
17/09/2018,13300
18/09/2018,13300
19/09/2018,13300
20/09/2018,13300
21/09/2018,13300
24/09/2018,13300
25/09/2018,13300
26/09/2018,13300
27/09/2018,13250
28/09/2018,13250
01/10/2018,13250
02/10/2018,13250
03/10/2018,13250
04/10/2018,13250
05/10/2018,13250
08/10/2018,13250
09/10/2018,13250
10/10/2018,13250
11/10/2018,13200
12/10/2018,13200
15/10/2018,13200
16/10/2018,13200
17/10/2018,13200
18/10/2018,13200
19/10/2018,13200
22/10/2018,13200
23/10/2018,13200
24/10/2018,13200
25/10/2018,13200
26/10/2018,13200
29/10/2018,13200
30/10/2018,13200
31/10/2018,13200
01/11/2018,13200
02/11/2018,13200
05/11/2018,13200
06/11/2018,13200
07/11/2018,13200
08/11/2018,13200
09/11/2018,13200
12/11/2018,13200
13/11/2018,13200
14/11/2018,13200
15/11/2018,13200
16/11/2018,13200
19/11/2018,13200
21/11/2018,13200
22/11/2018,13150
23/11/2018,13150
26/11/2018,13150
27/11/2018,13150
28/11/2018,13150
29/11/2018,13100
30/11/2018,13100
03/12/2018,13100
04/12/2018,13100
05/12/2018,13100
06/12/2018,13100
07/12/2018,13100
10/12/2018,13100
11/12/2018,13100
12/12/2018,13100
13/12/2018,13000
14/12/2018,13000
17/12/2018,13000
18/12/2018,13000
19/12/2018,13000
20/12/2018,13000
21/12/2018,13000
24/12/2018,13000
26/12/2018,12950
27/12/2018,12950
28/12/2018,12950
31/12/2018,12950
02/01/2019,13150
03/01/2019,13000
04/01/2019,13000
07/01/2019,13000
08/01/2019,13000
09/01/2019,13000
10/01/2019,12900
11/01/2019,12900
14/01/2019,12900
15/01/2019,12900
16/01/2019,12900
17/01/2019,12850
18/01/2019,12850
21/01/2019,12850
22/01/2019,12850
23/01/2019,12850
24/01/2019,12850
25/01/2019,12850
28/01/2019,12850
29/01/2019,12850
30/01/2019,12850
31/01/2019,12800
01/02/2019,12800
04/02/2019,12750
06/02/2019,12750
07/02/2019,12800
08/02/2019,12800
11/02/2019,12800
12/02/2019,12800
13/02/2019,12800
14/02/2019,12600
15/02/2019,12600
18/02/2019,12600
19/02/2019,12600
20/02/2019,12600
21/02/2019,12850
22/02/2019,12850
25/02/2019,12850
26/02/2019,12850
27/02/2019,12850
28/02/2019,12850
01/03/2019,12850
04/03/2019,12850
05/03/2019,12850
06/03/2019,12850
08/03/2019,12800
11/03/2019,12800
12/03/2019,12750
13/03/2019,12800
14/03/2019,12750
15/03/2019,12750
18/03/2019,12750
19/03/2019,12750
20/03/2019,12750
21/03/2019,12900
22/03/2019,12900
25/03/2019,12900
26/03/2019,12900
27/03/2019,12900
28/03/2019,12850
29/03/2019,12850
01/04/2019,12850
02/04/2019,12850
04/04/2019,12850
05/04/2019,12850
08/04/2019,12850
09/04/2019,12850
10/04/2019,12850
11/04/2019,12800
12/04/2019,12800
15/04/2019,12800
16/04/2019,12800
17/04/2019,12800
18/04/2019,12800
22/04/2019,12800
23/04/2019,12800
24/04/2019,12800
25/04/2019,12750
26/04/2019,12750
29/04/2019,12750
30/04/2019,12750
02/05/2019,12800
03/05/2019,12800
06/05/2019,12800
07/05/2019,12800
08/05/2019,12450
09/05/2019,12400
10/05/2019,12400
13/05/2019,12400
14/05/2019,12400
15/05/2019,12400
16/05/2019,12450
17/05/2019,12450
20/05/2019,12450
21/05/2019,12450
22/05/2019,12450
23/05/2019,12450
24/05/2019,12450
27/05/2019,12450
28/05/2019,12450
29/05/2019,12400
31/05/2019,12400
03/06/2019,12400
04/06/2019,12450
05/06/2019,12450
06/06/2019,12450
07/06/2019,12450
10/06/2019,12450
11/06/2019,12450
12/06/2019,12450
13/06/2019,12450
14/06/2019,12450
17/06/2019,12450
18/06/2019,12450
19/06/2019,12450
20/06/2019,12500
