tanggal,harga
01/08/2017,19600
02/08/2017,19850
03/08/2017,21100
04/08/2017,21100
07/08/2017,21050
08/08/2017,21050
09/08/2017,21000
10/08/2017,20700
11/08/2017,20700
14/08/2017,20700
15/08/2017,20600
16/08/2017,20350
18/08/2017,20250
21/08/2017,20250
22/08/2017,20150
23/08/2017,20100
24/08/2017,20000
25/08/2017,20050
28/08/2017,20050
29/08/2017,20050
30/08/2017,20050
31/08/2017,20150
04/09/2017,20150
05/09/2017,20200
06/09/2017,20150
07/09/2017,20900
08/09/2017,20900
11/09/2017,20900
12/09/2017,20900
13/09/2017,20850
14/09/2017,20400
15/09/2017,20400
18/09/2017,20400
19/09/2017,20450
20/09/2017,20400
22/09/2017,20450
25/09/2017,20450
26/09/2017,20450
27/09/2017,20400
28/09/2017,20300
29/09/2017,20300
02/10/2017,20300
03/10/2017,20300
04/10/2017,20200
05/10/2017,19950
06/10/2017,19950
09/10/2017,19900
10/10/2017,19900
11/10/2017,19950
12/10/2017,19800
13/10/2017,19800
16/10/2017,19800
17/10/2017,19800
18/10/2017,19900
19/10/2017,19850
20/10/2017,19850
23/10/2017,19850
24/10/2017,19900
25/10/2017,19900
26/10/2017,19750
27/10/2017,19750
30/10/2017,19750
31/10/2017,19700
01/11/2017,19700
02/11/2017,19700
03/11/2017,19700
06/11/2017,19700
07/11/2017,19650
08/11/2017,19650
09/11/2017,19500
10/11/2017,19500
13/11/2017,19500
14/11/2017,19550
15/11/2017,19600
16/11/2017,19850
17/11/2017,19850
20/11/2017,19850
21/11/2017,19850
22/11/2017,19950
23/11/2017,20500
24/11/2017,20500
27/11/2017,20500
28/11/2017,20500
29/11/2017,20800
30/11/2017,21400
01/12/2017,21400
04/12/2017,21400
05/12/2017,21450
06/12/2017,21500
07/12/2017,21650
08/12/2017,21650
11/12/2017,21650
12/12/2017,21750
13/12/2017,22000
14/12/2017,22750
15/12/2017,22750
18/12/2017,22800
19/12/2017,22850
20/12/2017,22900
21/12/2017,23550
22/12/2017,23550
27/12/2017,23700
28/12/2017,23800
29/12/2017,23800
02/01/2018,21450
03/01/2018,22400
04/01/2018,23400
05/01/2018,23400
08/01/2018,23350
09/01/2018,23400
10/01/2018,23450
11/01/2018,23150
12/01/2018,23150
15/01/2018,23200
16/01/2018,23100
17/01/2018,23000
18/01/2018,22600
19/01/2018,22600
22/01/2018,22600
23/01/2018,22550
24/01/2018,22450
25/01/2018,22100
26/01/2018,22100
29/01/2018,22100
30/01/2018,22100
31/01/2018,21950
01/02/2018,21700
02/02/2018,21700
05/02/2018,21700
06/02/2018,21700
07/02/2018,21600
08/02/2018,21200
09/02/2018,21200
12/02/2018,21200
13/02/2018,21150
14/02/2018,21150
15/02/2018,21200
19/02/2018,21200
20/02/2018,21250
21/02/2018,21250
22/02/2018,21350
23/02/2018,21350
26/02/2018,21350
27/02/2018,21300
28/02/2018,21300
01/03/2018,21150
02/03/2018,21150
05/03/2018,21100
06/03/2018,21100
07/03/2018,21000
08/03/2018,20850
09/03/2018,20850
12/03/2018,20800
13/03/2018,20800
14/03/2018,20700
15/03/2018,20350
16/03/2018,20350
19/03/2018,20400
20/03/2018,20400
21/03/2018,20450
22/03/2018,20450
23/03/2018,20450
26/03/2018,20450
27/03/2018,20450
28/03/2018,20450
29/03/2018,20500
02/04/2018,20500
03/04/2018,20450
04/04/2018,20450
05/04/2018,20300
06/04/2018,20300
09/04/2018,20300
10/04/2018,20450
11/04/2018,20550
12/04/2018,21050
13/04/2018,21050
16/04/2018,21050
17/04/2018,21000
18/04/2018,21100
19/04/2018,21450
20/04/2018,21450
23/04/2018,21450
24/04/2018,21550
25/04/2018,21600
26/04/2018,21750
27/04/2018,21750
30/04/2018,21750
02/05/2018,21800
03/05/2018,22050
04/05/2018,22050
07/05/2018,22100
08/05/2018,22050
09/05/2018,22550
11/05/2018,22900
14/05/2018,22900
15/05/2018,22950
16/05/2018,22950
17/05/2018,23600
18/05/2018,23600
21/05/2018,23600
22/05/2018,23650
23/05/2018,23650
24/05/2018,23500
25/05/2018,23500
28/05/2018,23500
30/05/2018,23500
31/05/2018,23000
01/06/2018,23000
04/06/2018,23000
05/06/2018,22800
06/06/2018,22850
07/06/2018,22750
08/06/2018,22750
11/06/2018,22750
12/06/2018,22750
13/06/2018,22750
14/06/2018,22750
18/06/2018,22750
19/06/2018,22650
20/06/2018,22650
21/06/2018,22750
22/06/2018,22750
25/06/2018,22750
26/06/2018,22800
27/06/2018,22800
28/06/2018,22550
29/06/2018,22550
02/07/2018,22550
03/07/2018,22550
04/07/2018,22750
05/07/2018,23450
06/07/2018,23450
09/07/2018,23500
10/07/2018,23500
11/07/2018,23700
12/07/2018,24700
13/07/2018,24700
16/07/2018,24750
17/07/2018,24750
18/07/2018,24750
19/07/2018,25200
20/07/2018,25200
23/07/2018,25150
24/07/2018,25250
25/07/2018,25050
26/07/2018,24600
27/07/2018,24600
30/07/2018,24600
31/07/2018,24550
01/08/2018,24450
02/08/2018,23850
03/08/2018,23850
06/08/2018,23800
07/08/2018,23650
08/08/2018,23600
09/08/2018,23000
10/08/2018,23000
13/08/2018,23000
14/08/2018,22950
15/08/2018,22900
16/08/2018,22650
20/08/2018,22650
21/08/2018,22500
23/08/2018,22550
24/08/2018,22550
27/08/2018,22550
28/08/2018,22500
29/08/2018,22500
30/08/2018,22600
31/08/2018,22600
03/09/2018,22600
04/09/2018,22550
05/09/2018,22550
06/09/2018,22450
07/09/2018,22450
10/09/2018,22400
12/09/2018,22400
13/09/2018,22050
14/09/2018,22050
17/09/2018,22000
18/09/2018,22000
19/09/2018,21950
20/09/2018,21750
21/09/2018,21750
24/09/2018,21750
25/09/2018,21600
26/09/2018,21500
27/09/2018,21000
28/09/2018,21000
01/10/2018,21000
02/10/2018,21000
03/10/2018,21050
04/10/2018,21150
05/10/2018,21150
08/10/2018,21150
09/10/2018,21100
10/10/2018,21100
11/10/2018,21300
12/10/2018,21300
15/10/2018,21350
16/10/2018,21350
17/10/2018,21250
18/10/2018,21000
19/10/2018,21000
22/10/2018,21050
23/10/2018,21050
24/10/2018,21100
25/10/2018,21050
26/10/2018,21050
29/10/2018,21050
30/10/2018,21100
31/10/2018,21100
01/11/2018,21150
02/11/2018,21150
05/11/2018,21150
06/11/2018,21150
07/11/2018,21150
08/11/2018,21200
09/11/2018,21200
12/11/2018,21250
13/11/2018,21250
14/11/2018,21250
15/11/2018,21800
16/11/2018,21800
19/11/2018,21850
21/11/2018,21900
22/11/2018,22350
23/11/2018,22350
26/11/2018,22350
27/11/2018,22500
28/11/2018,22550
29/11/2018,22800
30/11/2018,22800
03/12/2018,22800
04/12/2018,22850
05/12/2018,22900
06/12/2018,23600
07/12/2018,23600
10/12/2018,23600
11/12/2018,23600
12/12/2018,23700
13/12/2018,24100
14/12/2018,24100
17/12/2018,24100
18/12/2018,24200
19/12/2018,24200
20/12/2018,24450
21/12/2018,24450
24/12/2018,24450
26/12/2018,24500
27/12/2018,24800
28/12/2018,24800
31/12/2018,24800
02/01/2019,24050
03/01/2019,24750
04/01/2019,24750
07/01/2019,24750
08/01/2019,24750
09/01/2019,24700
10/01/2019,24200
11/01/2019,24200
14/01/2019,24250
15/01/2019,24200
16/01/2019,24100
17/01/2019,23800
18/01/2019,23800
21/01/2019,23750
22/01/2019,23700
23/01/2019,23700
24/01/2019,23400
25/01/2019,23400
28/01/2019,23400
29/01/2019,23400
30/01/2019,23300
31/01/2019,22950
01/02/2019,22950
04/02/2019,22950
06/02/2019,22900
07/02/2019,23150
08/02/2019,23150
11/02/2019,23150
12/02/2019,23100
13/02/2019,23050
14/02/2019,22550
15/02/2019,22550
18/02/2019,22500
19/02/2019,22500
20/02/2019,22450
21/02/2019,22100
22/02/2019,22100
25/02/2019,22050
26/02/2019,22100
27/02/2019,22050
28/02/2019,21850
01/03/2019,21850
04/03/2019,21850
05/03/2019,21850
06/03/2019,21750
08/03/2019,21700
11/03/2019,21700
12/03/2019,21700
13/03/2019,21700
14/03/2019,21500
15/03/2019,21500
18/03/2019,21500
19/03/2019,21500
20/03/2019,21500
21/03/2019,21450
22/03/2019,21450
25/03/2019,21450
26/03/2019,21450
27/03/2019,21550
28/03/2019,21700
29/03/2019,21700
01/04/2019,21700
02/04/2019,21700
04/04/2019,21900
05/04/2019,21900
08/04/2019,21900
09/04/2019,21850
10/04/2019,21900
11/04/2019,21950
12/04/2019,21950
15/04/2019,21950
16/04/2019,22000
17/04/2019,22000
18/04/2019,22050
22/04/2019,22050
23/04/2019,22100
24/04/2019,22100
25/04/2019,22250
26/04/2019,22250
29/04/2019,22250
30/04/2019,22400
02/05/2019,23250
03/05/2019,23250
06/05/2019,23250
07/05/2019,23200
08/05/2019,23250
09/05/2019,23700
10/05/2019,23700
13/05/2019,23700
14/05/2019,23700
15/05/2019,23750
16/05/2019,23500
17/05/2019,23500
20/05/2019,23500
21/05/2019,23600
22/05/2019,23550
23/05/2019,23250
24/05/2019,23250
